datetime,open,high,low,close
2025-05-02,3250.3,3269.02,3223.0,3254.9
2025-05-03,3255.4,3259.8,3244.3,3257.0
2025-05-04,3255.7,3255.9,3252.6,3252.7
2025-05-05,3252.8,3341.1,3236.68,3335.0
2025-05-06,3340.6,3440.0,3323.53,3434.7
2025-05-07,3435.0,3440.4,3360.23,3366.6
2025-05-08,3366.7,3414.52,3288.91,3309.4
2025-05-09,3309.6,3347.26,3275.0,3323.64
2025-05-10,3326.9,3332.7,3320.7,3322.0
2025-05-12,3290.0,3305.79,3207.7,3235.24
2025-05-13,3237.6,3265.33,3215.92,3248.5
2025-05-14,3247.8,3256.97,3167.95,3181.2
2025-05-15,3181.2,3245.2,3120.92,3244.5
2025-05-16,3245.0,3252.5,3154.27,3209.7
2025-05-17,3209.6,3211.5,3199.3,3207.2
2025-05-18,3209.2,3212.4,3206.7,3208.3
2025-05-19,3229.0,3249.65,3206.0,3229.15
2025-05-20,3232.0,3295.54,3204.53,3285.1
2025-05-21,3285.4,3324.65,3284.6,3315.56
2025-05-22,3314.4,3345.31,3279.27,3294.79
2025-05-23,3298.7,3366.0,3287.0,3355.9
2025-05-24,3356.8,3359.5,3350.1,3355.7
2025-05-25,3360.6,3364.5,3359.7,3359.7
2025-05-26,3354.88,3356.51,3324.0,3346.6
2025-05-27,3345.6,3353.6,3288.25,3299.7
2025-05-28,3300.0,3325.27,3277.0,3291.4
2025-05-29,3291.2,3328.34,3249.59,3317.95
2025-05-30,3317.11,3323.8,3277.61,3288.52
2025-05-31,3295.8,3301.1,3291.5,3291.8
2025-06-01,3297.1,3298.5,3295.5,3295.5
2025-06-02,3296.6,3382.66,3295.29,3381.02
2025-06-03,3381.01,3392.07,3333.38,3354.3
2025-06-04,3354.3,3384.66,3343.75,3372.34
2025-06-05,3376.5,3403.33,3339.5,3353.0
2025-06-06,3353.1,3375.45,3307.1,3310.1
2025-06-07,3318.1,3324.7,3315.2,3317.9
2025-06-08,3316.0,3321.6,3315.3,3319.1
2025-06-09,3315.0,3338.20996,3293.58,3327.6
2025-06-10,3327.2,3348.99,3302.09,3323.47
2025-06-11,3321.7,3360.6,3315.45,3352.3
2025-06-12,3352.3,3398.78,3338.68,3381.9
2025-06-13,3382.0,3446.58,3379.82,3432.19
2025-06-14,3436.2,3447.7,3430.0,3438.1
2025-06-15,3453.7,3458.1,3453.6,3457.7
2025-06-16,3446.0,3455.7,3383.0,3383.53
2025-06-17,3384.6,3403.21,3366.09,3387.3
2025-06-18,3388.7,3399.98,3362.68994,3372.1
2025-06-19,3371.9,3389.2,3347.72998,3381.2
2025-06-20,3381.3,3381.3,3340.32,3368.76
2025-06-21,3373.4,3381.9,3373.2,3380.3
2025-06-22,3409.5,3434.2,3406.3,3413.8
2025-06-23,3412.9,3419.5,3347.02,3369.1001
2025-06-24,3370.9,3383.3,3299.91992,3324.9
2025-06-25,3325.5,3337.3,3313.41992,3332.13989
2025-06-26,3331.1,3350.25,3310.0,3328.09
2025-06-27,3326.7,3329.0,3255.97998,3278.0
2025-06-28,3278.3,3284.3,3273.67,3284.3
2025-06-29,3273.8,3273.8,3271.9,3272.0
2025-06-30,3272.3,3309.21997,3248.98,3302.90991
2025-07-01,3305.4,3357.96997,3300.0,3336.4
2025-07-02,3336.1,3359.11011,3325.7,3352.0
2025-07-03,3352.0,3365.75,3311.66,3323.9
2025-07-04,3323.5,3345.07007,3320.4,3336.8
2025-07-05,3335.24,3339.8,3331.3,3336.7
2025-07-06,3335.2,3339.5,3332.1,3334.6
2025-07-07,3334.01,3342.05,3296.4,3336.82
2025-07-08,3333.8,3345.91992,3287.21,3301.03
2025-07-09,3299.1,3316.8999,3282.8999,3312.1
2025-07-10,3312.1,3330.21,3306.2,3323.67
2025-07-11,3318.9,3367.45996,3314.8,3349.9
2025-07-12,3349.8,3354.76,3343.6,3348.6
2025-07-13,3348.0,3350.9,3345.4,3349.4
2025-07-14,3356.92,3375.02002,3341.1499,3342.4
2025-07-15,3342.4,3366.24,3320.36011,3324.6
2025-07-16,3324.3,3377.18994,3319.78003,3344.7
2025-07-17,3344.7,3352.25,3309.98999,3337.6
2025-07-18,3303.71,3361.28003,3303.71,3347.9
2025-07-19,3347.6,3352.6,3341.9,3348.0
2025-07-20,3349.4,3352.8,3346.3,3347.3
2025-07-21,3345.0,3401.3999,3345.0,3397.33
2025-07-22,3397.33,3433.43994,3383.24,3427.09
2025-07-23,3427.08,3439.09009,3386.11,3389.03
2025-07-24,3389.03,3396.34,3359.33,3370.59
2025-07-25,3370.59,3373.55005,3326.32007,3347.17
2025-07-26,3347.16,3358.44,3345.6,3352.96
2025-07-28,3338.0,3351.53,3312.0,3322.01
2025-07-29,3322.01,3338.09,3318.39,3334.24
2025-07-30,3334.23,3340.28,3283.0,3291.98
2025-07-31,3292.2,3321.34,3288.88,3299.41
2025-08-01,3299.42,3362.0,3289.05,3361.89
2025-08-02,3361.89,3369.98,3355.58,3361.38
